wavelength	power
1.202150000000000001e-06	-6.910005920000000401e+01
1.202160000000000066e-06	-2.100000000000000000e+02
1.202169999999999918e-06	-6.722657379999999705e+01
1.202179999999999982e-06	-6.476526060000000484e+01
1.202190000000000047e-06	-7.071136439999999368e+01
1.202199999999999899e-06	-6.496747940000000199e+01
1.202209999999999964e-06	-6.657399100000000658e+01
1.202220000000000028e-06	-6.847359269999999754e+01
1.202230000000000092e-06	-6.898145680000000368e+01
1.202239999999999945e-06	-6.827998270000000502e+01
1.202250000000000009e-06	-6.614284080000000188e+01
1.202260000000000073e-06	-6.575901639999999304e+01
1.202269999999999926e-06	-7.942440050000000440e+01
1.202279999999999990e-06	-6.985132799999999520e+01
1.202290000000000054e-06	-6.601336759999999515e+01
1.202299999999999907e-06	-6.889894420000000252e+01
1.202309999999999971e-06	-6.273607309999999870e+01
1.202320000000000035e-06	-7.123240289999999675e+01
1.202330000000000100e-06	-6.667389059999999290e+01
1.202339999999999952e-06	-6.370006899999999916e+01
1.202350000000000016e-06	-6.686623799999999562e+01
1.202360000000000081e-06	-7.266783560000000364e+01
1.202369999999999933e-06	-6.761907499999999516e+01
1.202379999999999997e-06	-6.706305940000000021e+01
1.202390000000000062e-06	-6.984668480000000557e+01
1.202399999999999914e-06	-6.455496279999999842e+01
1.202409999999999979e-06	-6.822143859999999904e+01
1.202420000000000043e-06	-6.603711380000000020e+01
1.202429999999999895e-06	-6.824577220000000466e+01
1.202439999999999960e-06	-6.560159419999999386e+01
1.202450000000000024e-06	-7.043177950000000465e+01
1.202460000000000088e-06	-6.911517089999999541e+01
1.202469999999999941e-06	-6.915027310000000682e+01
1.202480000000000005e-06	-7.238890469999999766e+01
1.202490000000000069e-06	-6.633537379999999928e+01
1.202499999999999922e-06	-6.807517269999999598e+01
1.202509999999999986e-06	-6.826014449999999556e+01
1.202520000000000050e-06	-2.100000000000000000e+02
1.202529999999999903e-06	-6.269635070000000354e+01
1.202539999999999967e-06	-2.100000000000000000e+02
1.202550000000000031e-06	-6.697207629999999767e+01
1.202560000000000096e-06	-2.100000000000000000e+02
1.202569999999999948e-06	-6.817688189999999793e+01
1.202580000000000012e-06	-6.412786149999999452e+01
1.202590000000000077e-06	-2.100000000000000000e+02
1.202599999999999929e-06	-6.809387449999999831e+01
1.202609999999999994e-06	-6.633771550000000161e+01
1.202620000000000058e-06	-6.637928660000000036e+01
1.202629999999999910e-06	-7.268614410000000703e+01
1.202639999999999975e-06	-6.706248399999999776e+01
1.202650000000000039e-06	-6.939353210000000161e+01
1.202660000000000103e-06	-6.451136909999999602e+01
1.202669999999999956e-06	-6.525357499999999789e+01
1.202680000000000020e-06	-6.531603479999999706e+01
1.202690000000000084e-06	-6.680161819999999295e+01
1.202699999999999937e-06	-8.066651819999999873e+01
1.202710000000000001e-06	-6.693894830000000695e+01
1.202720000000000065e-06	-6.812871889999999553e+01
1.202729999999999918e-06	-6.958733200000000352e+01
1.202739999999999982e-06	-6.492189620000000616e+01
1.202750000000000046e-06	-6.810801879999999642e+01
1.202759999999999899e-06	-6.700277549999999849e+01
1.202769999999999963e-06	-6.999245369999999866e+01
1.202780000000000028e-06	-7.013518849999999816e+01
1.202790000000000092e-06	-6.495748519999999360e+01
1.202799999999999944e-06	-2.100000000000000000e+02
1.202810000000000009e-06	-6.456776809999999500e+01
1.202820000000000073e-06	-6.594852609999999515e+01
1.202829999999999925e-06	-2.100000000000000000e+02
1.202839999999999990e-06	-7.177009169999999472e+01
1.202850000000000054e-06	-7.812773090000000309e+01
1.202859999999999906e-06	-6.528332819999999970e+01
1.202869999999999971e-06	-6.538699900000000298e+01
1.202880000000000035e-06	-6.690210039999999481e+01
1.202890000000000099e-06	-2.100000000000000000e+02
1.202899999999999952e-06	-6.748513889999999549e+01
1.202910000000000016e-06	-6.410030650000000207e+01
1.202920000000000080e-06	-6.894649579999999389e+01
1.202929999999999933e-06	-6.539337910000000420e+01
1.202939999999999997e-06	-6.947559630000000652e+01
1.202950000000000061e-06	-2.100000000000000000e+02
1.202959999999999914e-06	-7.130289799999999900e+01
1.202969999999999978e-06	-7.171205179999999757e+01
1.202980000000000043e-06	-6.431552150000000267e+01
1.202989999999999895e-06	-7.121671800000000019e+01
1.202999999999999959e-06	-7.047688119999999401e+01
1.203010000000000024e-06	-6.837063369999999907e+01
1.203020000000000088e-06	-6.403455909999999562e+01
1.203029999999999940e-06	-7.328663480000000163e+01
1.203040000000000005e-06	-6.420417869999999994e+01
1.203050000000000069e-06	-6.733106800000000192e+01
1.203059999999999921e-06	-7.145793399999999451e+01
1.203069999999999986e-06	-2.100000000000000000e+02
1.203080000000000050e-06	-6.783387140000000670e+01
1.203089999999999903e-06	-6.450973659999999654e+01
1.203099999999999967e-06	-6.604708999999999719e+01
1.203110000000000031e-06	-6.909350739999999291e+01
1.203120000000000095e-06	-6.662271389999999371e+01
1.203129999999999948e-06	-7.518900270000000319e+01
1.203140000000000012e-06	-6.720083139999999844e+01
1.203150000000000076e-06	-6.764675359999999671e+01
1.203159999999999929e-06	-6.423755880000000218e+01
1.203169999999999993e-06	-6.548546469999999431e+01
1.203180000000000058e-06	-6.903379350000000159e+01
1.203189999999999910e-06	-7.147924240000000395e+01
1.203199999999999974e-06	-2.100000000000000000e+02
1.203210000000000039e-06	-6.976505249999999592e+01
1.203220000000000103e-06	-2.100000000000000000e+02
1.203229999999999955e-06	-6.959686290000000497e+01
1.203240000000000020e-06	-2.100000000000000000e+02
1.203250000000000084e-06	-6.639346349999999575e+01
1.203259999999999937e-06	-2.100000000000000000e+02
